2026-02-03 15:12:16,960 | INFO     | aiogram.dispatcher   | Start polling
2026-02-03 15:12:17,233 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 15:12:26,263 | INFO     | aiogram.event        | Update id=381923299 is handled. Duration 312 ms by bot id=6827677602
2026-02-03 15:13:05,889 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 15:13:05,889 | INFO     | aiogram.dispatcher   | Polling stopped
2026-02-03 17:48:31,643 | INFO     | aiogram.dispatcher   | Start polling
2026-02-03 17:48:31,921 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 17:48:40,468 | INFO     | aiogram.event        | Update id=381923300 is handled. Duration 280 ms by bot id=6827677602
2026-02-03 17:48:48,289 | INFO     | aiogram.event        | Update id=381923301 is not handled. Duration 0 ms by bot id=6827677602
2026-02-03 17:50:23,006 | INFO     | aiogram.dispatcher   | Polling stopped
2026-02-03 17:50:23,006 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 17:50:26,363 | INFO     | aiogram.dispatcher   | Start polling
2026-02-03 17:50:26,591 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 17:50:37,496 | INFO     | aiogram.event        | Update id=381923302 is handled. Duration 295 ms by bot id=6827677602
2026-02-03 17:51:09,686 | INFO     | aiogram.dispatcher   | Polling stopped
2026-02-03 17:51:09,687 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 17:51:13,072 | INFO     | aiogram.dispatcher   | Start polling
2026-02-03 17:51:13,332 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 17:51:16,657 | INFO     | aiogram.event        | Update id=381923303 is handled. Duration 375 ms by bot id=6827677602
2026-02-03 17:51:56,511 | INFO     | aiogram.dispatcher   | Polling stopped
2026-02-03 17:51:56,512 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 18:58:14,576 | INFO     | aiogram.dispatcher   | Start polling
2026-02-03 18:58:15,178 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 18:58:15,319 | INFO     | aiogram.event        | Update id=381923304 is handled. Duration 15 ms by bot id=6827677602
2026-02-03 18:58:25,793 | INFO     | aiogram.event        | Update id=381923305 is handled. Duration 515 ms by bot id=6827677602
2026-02-03 18:58:30,509 | INFO     | aiogram.event        | Update id=381923306 is handled. Duration 0 ms by bot id=6827677602
2026-02-03 18:58:33,907 | INFO     | aiogram.event        | Update id=381923307 is not handled. Duration 15 ms by bot id=6827677602
2026-02-03 18:58:35,130 | INFO     | aiogram.event        | Update id=381923308 is handled. Duration 0 ms by bot id=6827677602
2026-02-03 19:01:25,866 | INFO     | aiogram.dispatcher   | Polling stopped
2026-02-03 19:01:25,867 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 19:05:57,806 | INFO     | aiogram.dispatcher   | Start polling
2026-02-03 19:05:58,295 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 19:06:01,858 | INFO     | aiogram.event        | Update id=381923309 is handled. Duration 452 ms by bot id=6827677602
2026-02-03 19:06:04,519 | INFO     | aiogram.event        | Update id=381923310 is handled. Duration 1032 ms by bot id=6827677602
2026-02-03 19:06:19,399 | INFO     | aiogram.dispatcher   | Polling stopped
2026-02-03 19:06:19,400 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 20:37:00,848 | INFO     | aiogram.dispatcher   | Start polling
2026-02-03 20:37:01,108 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 20:37:20,326 | INFO     | aiogram.event        | Update id=381923311 is handled. Duration 359 ms by bot id=6827677602
2026-02-03 20:37:53,816 | INFO     | aiogram.dispatcher   | Polling stopped
2026-02-03 20:37:53,816 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 20:41:03,838 | INFO     | aiogram.dispatcher   | Start polling
2026-02-03 20:41:09,678 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 20:41:18,079 | INFO     | aiogram.event        | Update id=381923312 is handled. Duration 452 ms by bot id=6827677602
2026-02-03 20:41:51,953 | INFO     | aiogram.event        | Update id=381923313 is not handled. Duration 0 ms by bot id=6827677602
2026-02-03 20:41:54,585 | INFO     | aiogram.event        | Update id=381923314 is handled. Duration 500 ms by bot id=6827677602
2026-02-03 20:43:04,045 | INFO     | aiogram.dispatcher   | Polling stopped
2026-02-03 20:43:04,046 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 22:59:10,128 | INFO     | aiogram.dispatcher   | Start polling
2026-02-03 22:59:10,407 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 22:59:24,712 | INFO     | aiogram.event        | Update id=381923315 is not handled. Duration 0 ms by bot id=6827677602
2026-02-03 22:59:31,030 | INFO     | aiogram.event        | Update id=381923316 is not handled. Duration 0 ms by bot id=6827677602
2026-02-03 22:59:37,820 | INFO     | aiogram.event        | Update id=381923317 is handled. Duration 295 ms by bot id=6827677602
2026-02-03 22:59:40,334 | INFO     | aiogram.event        | Update id=381923318 is handled. Duration 141 ms by bot id=6827677602
2026-02-03 22:59:49,425 | INFO     | aiogram.dispatcher   | Polling stopped
2026-02-03 22:59:49,425 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 23:03:29,529 | INFO     | aiogram.dispatcher   | Start polling
2026-02-03 23:03:29,805 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 23:04:19,540 | INFO     | aiogram.event        | Update id=381923319 is handled. Duration 281 ms by bot id=6827677602
2026-02-03 23:05:19,757 | INFO     | aiogram.dispatcher   | Polling stopped
2026-02-03 23:05:19,757 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 23:05:23,075 | INFO     | aiogram.dispatcher   | Start polling
2026-02-03 23:05:23,334 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 23:05:50,618 | INFO     | aiogram.event        | Update id=381923320 is handled. Duration 405 ms by bot id=6827677602
2026-02-03 23:06:50,720 | INFO     | aiogram.dispatcher   | Polling stopped
2026-02-03 23:06:50,720 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 23:06:54,285 | INFO     | aiogram.dispatcher   | Start polling
2026-02-03 23:06:54,563 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-03 23:06:55,139 | INFO     | aiogram.event        | Update id=381923321 is handled. Duration 281 ms by bot id=6827677602
2026-02-03 23:10:12,514 | INFO     | aiogram.event        | Update id=381923322 is handled. Duration 281 ms by bot id=6827677602
2026-02-03 23:10:14,326 | INFO     | aiogram.event        | Update id=381923323 is handled. Duration 108 ms by bot id=6827677602
2026-02-03 23:16:45,694 | INFO     | aiogram.dispatcher   | Polling stopped
2026-02-03 23:16:45,694 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-04 00:40:52,688 | INFO     | aiogram.dispatcher   | Start polling
2026-02-04 00:40:52,958 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-04 00:40:53,054 | INFO     | aiogram.event        | Update id=381923324 is not handled. Duration 0 ms by bot id=6827677602
2026-02-04 00:40:56,612 | INFO     | aiogram.event        | Update id=381923325 is not handled. Duration 0 ms by bot id=6827677602
2026-02-04 00:41:02,424 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-04 00:41:02,424 | INFO     | aiogram.dispatcher   | Polling stopped
2026-02-04 00:41:44,495 | INFO     | aiogram.dispatcher   | Start polling
2026-02-04 00:41:44,752 | INFO     | aiogram.dispatcher   | Run polling for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-04 00:41:48,044 | INFO     | aiogram.event        | Update id=381923326 is not handled. Duration 0 ms by bot id=6827677602
2026-02-04 00:41:52,366 | INFO     | aiogram.event        | Update id=381923327 is handled. Duration 375 ms by bot id=6827677602
2026-02-04 00:41:57,272 | INFO     | aiogram.event        | Update id=381923328 is handled. Duration 92 ms by bot id=6827677602
2026-02-04 00:41:59,801 | INFO     | aiogram.event        | Update id=381923329 is handled. Duration 109 ms by bot id=6827677602
2026-02-04 00:42:11,576 | INFO     | aiogram.event        | Update id=381923330 is handled. Duration 109 ms by bot id=6827677602
2026-02-04 00:55:09,653 | INFO     | aiogram.dispatcher   | Polling stopped for bot @asurbeats_bot id=6827677602 - 'asurbeats'
2026-02-04 00:55:09,653 | INFO     | aiogram.dispatcher   | Polling stopped
